Rock_Type,Ore_Grade,Tonnage,Ore_Value,Mining_Cost,Processing_Cost,Waste_Flag,Profit
Hematite,51.88,1689,291.48,38,31,0,375768.72
Magnetite,58.19,1240,327.69,64,26,0,294735.6
Magnetite,60.45,2716,302.54,45,32,0,612566.64
Hematite,54.42,2810,269.92,44,23,0,570205.2
Magnetite,51.5,2878,255.84,46,21,0,543481.52
Hematite,61.4,2871,255.58,58,25,0,495477.18
Hematite,55.11,2905,301.87,39,37,0,656152.35
Magnetite,52.94,1792,277.93,56,21,0,360066.56
Magnetite,59.84,1868,261.29,62,30,0,316233.72
Hematite,51.03,2741,289.7,30,37,0,610420.7
Hematite,52.87,1533,278.52,31,25,0,341123.16
Hematite,52.23,1458,269.32,42,26,0,293524.56
Magnetite,53.33,1531,343.97,41,39,0,404138.07
Magnetite,64.02,2771,325.95,65,25,0,653817.45
Hematite,50.06,2938,309.82,67,34,0,613513.16
Magnetite,59.48,1139,255.69,43,22,0,217195.91
Magnetite,58.89,1881,335.67,69,22,0,460224.27
Hematite,62.85,1091,336.12,45,35,0,279426.92
Hematite,56.31,1215,273.81,38,36,0,242769.15
Magnetite,57.45,1349,319.39,69,29,0,298655.11
Waste,0,1427,0,65,21,1,-122722
Hematite,60.47,2579,264.63,65,37,0,419422.77
Magnetite,61.46,2120,269.35,41,25,0,431102
Hematite,63.67,1127,321.91,31,23,0,301934.57
Magnetite,53.11,2252,330.63,56,31,0,548654.76
Hematite,61.06,1876,288.34,42,28,0,409605.84
Hematite,54.79,2192,310.19,64,30,0,473888.48
Hematite,61.9,2609,332.25,42,34,0,668556.25
Magnetite,59.96,2635,328.05,69,37,0,585101.75
Hematite,52.34,1129,331.14,32,38,0,294827.06
Waste,0,2938,0,65,33,1,-287924
Waste,0,1648,0,43,34,1,-126896
Magnetite,50.19,2377,256.08,37,22,0,468459.16
Hematite,63.73,1303,311.96,51,28,0,303546.88
Hematite,63.79,2855,311.46,30,38,0,695078.3
Hematite,60.4,1925,263.7,40,33,0,367097.5
Magnetite,55.62,1230,322.08,35,36,0,308828.4
Waste,0,1540,0,51,24,1,-115500
Magnetite,53.42,2415,268.59,65,37,0,402314.85
Waste,0,2879,0,55,21,1,-218804
Hematite,51.41,1992,312.62,69,30,0,425531.04
Magnetite,58.23,1424,340.76,33,21,0,408346.24
Magnetite,59.66,1030,257.09,59,33,0,170042.7
Waste,0,1391,0,46,32,1,-108498
Hematite,63.12,2435,333.06,40,30,0,640551.1
Hematite,50.97,2919,302.28,48,37,0,634240.32
Hematite,64.17,2010,285.49,62,23,0,402984.9
Magnetite,64.3,2851,326.08,50,37,0,681617.08
Hematite,53.37,2398,305.79,59,32,0,515066.42
Waste,0,1550,0,43,38,1,-125550
Hematite,56.01,1823,256.22,38,36,0,332187.06
Magnetite,60.92,2552,290.96,35,37,0,558785.92
Hematite,54.98,2026,296.94,42,22,0,471936.44
Hematite,52.53,2345,320.29,61,35,0,525960.05
Waste,0,1461,0,65,32,1,-141717
Waste,0,1626,0,58,34,1,-149592
Hematite,55.28,1890,324.89,54,28,0,459062.1
Magnetite,61.16,1554,262.08,65,28,0,262750.32
Hematite,60.61,1776,256.32,68,34,0,274072.32
Hematite,58.51,1799,291.1,38,21,0,417547.9
Waste,0,2528,0,44,27,1,-179488
Hematite,52.03,2278,335.52,54,25,0,584352.56
Waste,0,1395,0,35,30,1,-90675
Hematite,63.22,2942,305.26,42,31,0,683308.92
Hematite,64.33,1902,277.99,67,39,0,327124.98
Magnetite,62.38,2508,316.41,55,23,0,597932.28
Hematite,57.49,1658,251.13,43,34,0,288707.54
Hematite,55.92,1937,300.01,69,22,0,404852.37
Magnetite,60.74,2532,258.85,61,25,0,437656.2
Magnetite,57.43,2793,299.12,48,32,0,612002.16
Hematite,52.71,1443,306.67,41,25,0,347286.81
Magnetite,57.44,1397,344.95,51,28,0,371532.15
Magnetite,56.21,2128,295.08,35,27,0,495994.24
Magnetite,50.84,2465,275.01,67,35,0,426469.65
Hematite,58.65,1771,282.46,63,31,0,333762.66
Waste,0,2631,0,49,31,1,-210480
Hematite,58.22,2004,278.53,54,24,0,401862.12
Magnetite,64.63,1729,341.13,53,29,0,448035.77
Hematite,58.27,2533,252.98,60,23,0,430559.34
Magnetite,58.63,2152,253.56,43,32,0,384261.12
Hematite,53.07,1043,261.72,67,32,0,169716.96
Magnetite,59.78,2941,286.77,63,39,0,543408.57
Magnetite,56.52,1858,297.71,43,35,0,408221.18
Magnetite,62.52,2556,276.41,51,35,0,486687.96
Magnetite,53.1,1276,289.32,49,24,0,276024.32
Waste,0,1284,0,41,22,1,-80892
Hematite,53.59,1811,304.72,39,36,0,416022.92
Magnetite,61.33,1056,279.13,55,37,0,197609.28
Magnetite,55.23,2294,256.28,58,34,0,376858.32
Magnetite,51.11,2794,324.82,56,22,0,689615.08
Magnetite,55.51,2969,323.32,56,25,0,719448.08
Hematite,58.85,2134,270.61,47,35,0,402493.74
Hematite,57.96,2235,344.84,46,34,0,591917.4
Waste,0,2382,0,43,31,1,-176268
Hematite,58.01,1382,327.52,33,33,0,361420.64
Magnetite,60.33,1317,346.47,44,27,0,362793.99
Magnetite,51.71,1408,250.19,30,38,0,256523.52
Waste,0,2878,0,46,35,1,-233118
Hematite,55.63,1215,301.61,64,26,0,257106.15
Magnetite,55.71,2906,273.48,53,30,0,553534.88
Hematite,57.4,2110,309.21,66,25,0,460423.1
Hematite,62.57,1160,271.78,31,26,0,249144.8
Waste,0,2492,0,33,28,1,-152012
Hematite,51.02,1389,273.12,66,29,0,247408.68
Hematite,52.89,2195,339.12,66,25,0,544623.4
Magnetite,50.53,2015,287.48,34,26,0,458372.2
Magnetite,61.68,1986,334.4,59,38,0,471476.4
Hematite,62.25,2719,301.79,69,33,0,543229.01
Hematite,64.53,2925,286.79,43,26,0,637035.75
Hematite,62.64,2714,329.99,33,30,0,724610.86
Magnetite,53.07,2392,349.03,62,39,0,593287.76
Waste,0,2555,0,42,28,1,-178850
Hematite,60.13,2145,323.6,65,25,0,501072
Waste,0,2434,0,52,30,1,-199588
Hematite,62.29,1198,338.7,68,28,0,290754.6
Magnetite,58.1,1171,338.19,38,39,0,305853.49
Hematite,55.84,2049,312.98,65,39,0,428200.02
Waste,0,2145,0,63,22,1,-182325
Waste,0,1735,0,53,24,1,-133595
Hematite,55.27,2750,346.23,31,30,0,784382.5
Magnetite,64.49,2917,326.27,34,37,0,744622.59
Waste,0,1756,0,58,37,1,-166820
Waste,0,2641,0,46,36,1,-216562
Magnetite,59.19,1601,256.44,46,32,0,285682.44
Magnetite,62.15,2123,326.97,42,39,0,522194.31
Hematite,53.85,1376,285.55,62,37,0,256692.8
Hematite,57.84,1197,345.66,69,23,0,303631.02
Magnetite,62.58,1276,257.6,61,24,0,220237.6
Magnetite,58.5,2555,262.96,35,21,0,528782.8
Magnetite,52.79,2853,307.17,42,27,0,679499.01
Magnetite,59.16,2191,318.72,34,33,0,551518.52
Waste,0,2171,0,64,29,1,-201903
Hematite,62.84,1122,339.74,43,24,0,306014.28
Hematite,59.66,2437,292.38,59,36,0,481015.06
Hematite,57.04,1841,348.59,61,39,0,457654.19
Waste,0,2065,0,52,22,1,-152810
Magnetite,63.8,2936,307.29,43,30,0,687875.44
Magnetite,62.28,1131,269.09,44,25,0,226301.79
Magnetite,63.6,2638,308.23,42,35,0,609984.74
Waste,0,2172,0,66,27,1,-201996
Magnetite,50.76,2301,297.73,69,33,0,450374.73
Magnetite,58.96,2378,300.98,31,34,0,561160.44
Hematite,58.47,2230,296.6,51,21,0,500858
Hematite,63.57,2681,263.49,31,37,0,524108.69
Hematite,58.11,1823,263.68,48,27,0,343963.64
Waste,0,2789,0,39,33,1,-200808
Hematite,59.93,2407,290.15,48,28,0,515459.05
Hematite,52.92,2509,297.32,52,23,0,557800.88
Magnetite,57.58,1819,277.57,65,23,0,344827.83
Hematite,51.53,1963,300.57,34,21,0,482053.91
Hematite,56.69,1055,256.53,60,26,0,179909.15
Magnetite,50.57,2422,252.05,58,34,0,387641.1
Magnetite,59.27,2595,314.28,39,39,0,613146.6
Hematite,61.97,1732,335.99,60,34,0,419126.68
Waste,0,2181,0,66,36,1,-222462
Waste,0,1549,0,57,33,1,-139410
Magnetite,59.5,2218,340.7,65,33,0,538308.6
Waste,0,1177,0,40,24,1,-75328
Waste,0,2637,0,34,29,1,-166131
Hematite,63.85,2434,339.21,60,33,0,599275.14
Magnetite,58.07,1466,306.08,45,21,0,351957.28
Hematite,54.1,2779,339.07,35,23,0,781093.53
Hematite,57.92,2276,333.22,64,36,0,530808.72
Waste,0,2845,0,31,34,1,-184925
Waste,0,1112,0,46,21,1,-74504
Hematite,60.22,1045,347.72,44,38,0,277677.4
Hematite,55.13,2402,276.19,62,38,0,423208.38
Waste,0,1373,0,36,39,1,-102975
Hematite,55.07,2917,290.76,34,21,0,687711.92
Magnetite,50.78,2664,310.42,63,39,0,555230.88
Waste,0,1446,0,49,25,1,-107004
Hematite,52.09,2806,286.99,59,27,0,563977.94
Hematite,58.34,1080,268.42,51,31,0,201333.6
Magnetite,52.99,1909,259.05,45,32,0,347533.45
Hematite,56.2,2180,294.07,38,34,0,484112.6
Magnetite,62.5,2390,271.17,63,38,0,406706.3
Hematite,50.27,2428,292.82,52,35,0,499730.96
Hematite,64.46,2472,325.15,64,33,0,563986.8
Hematite,53.14,1497,253.88,49,38,0,249819.36
Magnetite,64.06,1829,295.29,52,27,0,395594.41
Hematite,62.07,2323,325.1,60,36,0,532199.3
Waste,0,2673,0,54,29,1,-221859
Hematite,52.18,1116,336.26,67,28,0,269246.16
Hematite,57.13,1076,296.77,57,29,0,226788.52
Hematite,53.7,2824,333.1,58,34,0,680866.4
Waste,0,1881,0,61,33,1,-176814
Waste,0,2427,0,43,35,1,-189306
Magnetite,52.72,1717,295.63,53,36,0,354783.71
Waste,0,1186,0,68,38,1,-125716
Waste,0,2478,0,57,34,1,-225498
Magnetite,57.59,2567,292.56,65,27,0,514837.52
Waste,0,2593,0,69,23,1,-238556
Magnetite,58.63,1186,327.35,34,28,0,314705.1
Magnetite,51.41,1675,333.98,38,34,0,438816.5
Hematite,60.89,2417,280.24,59,28,0,467061.08
Magnetite,64.57,2911,344.56,67,34,0,709003.16
Hematite,57.25,1378,275.28,53,31,0,263583.84
Magnetite,62.34,2476,340.56,60,36,0,605530.56
Magnetite,53.83,2858,301.29,68,21,0,606724.82
Waste,0,1613,0,62,33,1,-153235
Magnetite,52.54,2777,330.43,41,25,0,734322.11
Hematite,57,1883,286.67,41,39,0,389159.61
Magnetite,53.63,1182,302.44,62,39,0,238102.08
Waste,0,2639,0,53,28,1,-213759
Waste,0,2408,0,59,31,1,-216720
Waste,0,2106,0,30,24,1,-113724
Magnetite,60.49,2240,283.59,46,22,0,482921.6
Waste,0,2112,0,47,34,1,-171072
Hematite,51.82,1324,297.33,46,38,0,282448.92
Waste,0,2068,0,68,30,1,-202664
Waste,0,2932,0,62,23,1,-249220
Waste,0,2142,0,38,28,1,-141372
Hematite,64.71,1876,285.74,36,26,0,419736.24
Magnetite,52.74,2361,309.83,56,37,0,511935.63
Magnetite,63.69,2871,267.94,44,34,0,545317.74
Waste,0,1323,0,60,35,1,-125685
Hematite,56.72,2806,258.69,61,36,0,453702.14
Magnetite,64.03,1182,284.2,37,26,0,261458.4
Magnetite,55.28,1265,299.06,51,31,0,274580.9
Waste,0,2596,0,35,39,1,-192104
Hematite,51.98,2743,323.41,36,36,0,689617.63
Magnetite,59.69,2935,320.02,48,33,0,701523.7
Waste,0,1657,0,49,21,1,-115990
Magnetite,53.77,1750,333.98,58,23,0,442715
Hematite,59.61,1813,288.47,58,26,0,370704.11
Magnetite,63.92,1162,340.91,30,33,0,322931.42
Hematite,60.17,2641,260.68,33,36,0,506226.88
Hematite,61.03,2606,329.23,30,27,0,709431.38
Waste,0,1535,0,57,36,1,-142755
Magnetite,58.99,1758,253.01,44,20,0,332279.58
Hematite,61.01,2030,288.4,62,27,0,404782
Hematite,51.98,2099,314.04,61,26,0,476556.96
Waste,0,1994,0,55,39,1,-187436
Magnetite,64.07,1037,310.01,45,31,0,242668.37
Hematite,57.19,2858,308.58,62,31,0,616127.64
Hematite,58.34,1864,343.17,39,20,0,529692.88
Magnetite,55.45,1066,260.69,49,30,0,193681.54
Hematite,58.6,1042,269.03,69,20,0,187591.26
Magnetite,53.35,1346,309.43,41,25,0,327656.78
Magnetite,50.65,1297,279.67,57,37,0,240813.99
Hematite,55.11,1329,275.28,41,24,0,279462.12
Magnetite,62.29,2066,266.39,68,26,0,356157.74
Waste,0,2221,0,66,26,1,-204332
Magnetite,51.13,2101,279.92,58,22,0,420031.92
Magnetite,63.83,2177,307.36,30,38,0,521086.72
Waste,0,2554,0,38,29,1,-171118
Magnetite,50.4,2971,349.36,54,36,0,770558.56
Magnetite,51.92,2962,259.62,56,29,0,517224.44
Magnetite,63.92,1320,264.33,39,34,0,252555.6
Magnetite,52.32,2067,285.87,64,23,0,411064.29
Hematite,51.48,2169,311.96,42,37,0,505290.24
Waste,0,2960,0,33,27,1,-177600
Magnetite,57.74,2036,276.15,47,29,0,407505.4
Magnetite,60.61,1891,250.14,49,33,0,317952.74
Hematite,53.57,2686,271.61,54,22,0,525408.46
Waste,0,1165,0,40,28,1,-79220
Hematite,54.34,1650,296.5,50,39,0,342375
Magnetite,54.21,2803,312.33,48,38,0,634402.99
Hematite,62.66,2907,304.55,58,28,0,635324.85
Hematite,56.21,1422,314.01,60,22,0,329918.22
Hematite,64.51,2854,331.61,36,39,0,732364.94
Hematite,58.73,2818,256.16,44,25,0,527416.88
Hematite,59.82,2078,257.21,52,20,0,384866.38
Hematite,58.67,1502,348.87,37,35,0,415858.74
Magnetite,52.06,2557,277.35,56,27,0,496952.95
Magnetite,51.26,2037,301.16,42,25,0,476983.92
Magnetite,63.72,2261,319.03,33,25,0,590188.83
Magnetite,56.34,1709,291.87,50,20,0,379175.83
Waste,0,1820,0,47,37,1,-152880
Magnetite,63.3,1989,257.73,66,37,0,307757.97
Hematite,63.43,2924,347.55,31,34,0,826176.2
Magnetite,50.37,1052,330.61,40,30,0,274161.72
Hematite,52.26,1245,343.67,68,31,0,304614.15
Hematite,60.63,1946,270.47,33,39,0,386222.62
Hematite,50.82,1597,348.77,45,32,0,434016.69
Hematite,63.65,1857,310.94,56,34,0,410285.58
Hematite,61.78,2644,347.86,34,31,0,747881.84
Hematite,53.92,2666,293.92,68,25,0,535652.72
Waste,0,1876,0,68,36,1,-195104
Magnetite,52.46,2344,341.58,60,30,0,589703.52
Hematite,63.14,2071,297.42,32,30,0,487554.82
Waste,0,1577,0,48,28,1,-119852
Hematite,52.1,1106,302.25,31,36,0,260186.5
Waste,0,1648,0,44,26,1,-115360
Waste,0,1202,0,69,35,1,-125008
Magnetite,61.55,1489,343.97,34,35,0,409430.33
Magnetite,58.49,1939,250.27,47,32,0,332092.53
Hematite,53,1650,317.81,39,39,0,395686.5
Hematite,59.14,1756,277.75,36,36,0,361297
Hematite,58.45,2112,342.3,68,34,0,507513.6
Magnetite,62.41,2042,332.85,56,25,0,514277.7
Waste,0,1206,0,32,23,1,-66330
Hematite,60.98,1532,334.23,42,25,0,409396.36
Magnetite,52.81,2925,326.01,34,31,0,763454.25
Hematite,52.78,1959,260.11,66,26,0,329327.49
Magnetite,59.98,2942,329.87,58,29,0,714523.54
Magnetite,54.02,2810,306.8,54,39,0,600778
Magnetite,61.65,2497,295.24,31,37,0,567418.28
Waste,0,2597,0,39,29,1,-176596
Hematite,58.27,1368,250.13,38,25,0,255993.84
Magnetite,52.04,2679,278.54,40,27,0,566715.66
Hematite,61.46,1980,326.39,52,34,0,475972.2
Magnetite,51.26,1152,338.57,65,32,0,278288.64
Hematite,57.02,1877,274.28,47,35,0,360909.56
Magnetite,63.9,2460,256.97,43,30,0,452566.2
Magnetite,55.33,1484,330.09,50,38,0,359261.56
Waste,0,1571,0,68,26,1,-147674
Magnetite,62.17,1074,274.1,46,39,0,203093.4
Waste,0,2837,0,63,23,1,-243982
Waste,0,2934,0,69,20,1,-261126
Hematite,53.43,2692,330.05,66,36,0,613910.6
Hematite,52.93,1860,286.48,34,28,0,417532.8
Hematite,59.95,1941,324.86,37,39,0,483037.26
Hematite,51.87,1431,322.01,55,32,0,336299.31
Hematite,50.68,1159,322.08,45,23,0,294478.72
Magnetite,50.22,1646,347.92,34,33,0,462394.32
Hematite,52.39,1784,274.21,64,37,0,309006.64
Magnetite,60.75,1174,326.05,42,31,0,297080.7
Magnetite,54,2168,344.17,67,30,0,535864.56
Magnetite,51.69,1170,250.57,32,25,0,226476.9
Magnetite,64.96,1580,274.44,32,28,0,338815.2
Magnetite,51.26,1878,347.06,45,20,0,529708.68
Hematite,52.55,2223,314.58,45,28,0,537032.34
Magnetite,62.23,2795,304.03,51,20,0,651318.85
Waste,0,2024,0,42,39,1,-163944
Waste,0,2078,0,45,20,1,-135070
Magnetite,53.77,2827,272.21,46,27,0,563166.67
Magnetite,51.8,2577,329.2,53,28,0,639611.4
Hematite,59.26,1231,277.03,58,25,0,238850.93
Hematite,52.06,1491,332.37,58,26,0,370319.67
Waste,0,1722,0,50,32,1,-141204
Waste,0,1493,0,59,23,1,-122426
Magnetite,51.28,1175,261.62,44,37,0,212228.5
Magnetite,52.67,2552,277.42,60,38,0,457879.84
Magnetite,60.88,1971,288.41,62,36,0,375298.11
Hematite,62.58,1146,344.96,46,21,0,318542.16
Magnetite,59.44,1937,250.89,53,21,0,342635.93
Hematite,63.12,1203,256.08,42,21,0,232275.24
Magnetite,54.86,2878,333.24,56,35,0,697166.72
Magnetite,54.94,2952,288.6,39,23,0,668923.2
Waste,0,2032,0,31,36,1,-136144
Magnetite,62.02,2129,301.74,59,23,0,467826.46
Hematite,64.23,1522,269.51,69,32,0,256472.22
Hematite,59.55,1752,266.68,40,24,0,355095.36
Hematite,57.83,2000,314.85,39,37,0,477700
Magnetite,57.71,2701,263.52,31,33,0,538903.52
Magnetite,50.23,2155,328.71,52,34,0,523040.05
Magnetite,61.9,1541,337.86,68,37,0,358837.26
Hematite,54.97,1182,345.79,65,23,0,304707.78
Waste,0,1275,0,36,24,1,-76500
Waste,0,2721,0,57,21,1,-212238
Hematite,60.99,1442,292.13,50,21,0,318869.46
Hematite,59.52,2155,338.34,33,38,0,576117.7
Magnetite,59.19,1154,283.31,49,25,0,241543.74
Magnetite,50.27,1231,295.63,36,39,0,271595.53
Magnetite,52.59,2386,292.23,42,33,0,518310.78
Hematite,55.7,2515,319.4,31,36,0,634786
Magnetite,52.83,2593,262.8,66,34,0,422140.4
Waste,0,1352,0,49,32,1,-109512
Waste,0,2608,0,34,33,1,-174736
Magnetite,53.99,2755,284.86,43,32,0,578164.3
Waste,0,2329,0,41,31,1,-167688
Waste,0,1793,0,32,26,1,-103994
Waste,0,2287,0,60,24,1,-192108
Magnetite,63.11,1252,278.1,58,29,0,239257.2
Hematite,50.31,1332,345.11,68,26,0,334478.52
Hematite,59.47,1923,311.08,45,33,0,448212.84
Hematite,61.61,2314,322.21,36,26,0,602125.94
Hematite,59.19,1582,345.93,49,22,0,434939.26
Hematite,57.54,1997,312.52,36,27,0,498291.44
Waste,0,2404,0,45,38,1,-199532
Hematite,51.49,1579,259.81,64,25,0,269708.99
Magnetite,62.99,2020,333.67,49,37,0,500293.4
Waste,0,1239,0,64,35,1,-122661
Waste,0,2540,0,53,23,1,-193040
Magnetite,61.31,1939,324.28,67,22,0,456207.92
Waste,0,2037,0,33,20,1,-107961
Magnetite,52.89,1282,282.95,56,31,0,251207.9
Hematite,58.83,2378,269.63,32,29,0,496122.14
Hematite,61.28,2003,313.36,50,23,0,481441.08
Hematite,62.28,1561,293.14,39,23,0,360809.54
Magnetite,51.51,1394,254.2,67,23,0,228894.8
Waste,0,2976,0,54,25,1,-235104
Hematite,52.4,2836,329.12,41,35,0,717848.32
Magnetite,62.36,1463,289.41,57,37,0,285884.83
Magnetite,58.31,1722,294.9,55,39,0,345949.8
Hematite,54.77,1038,279.97,32,21,0,235594.86
Hematite,62.25,1320,254.38,55,38,0,213021.6
Waste,0,1491,0,51,22,1,-108843
Waste,0,2808,0,37,32,1,-193752
Hematite,54.36,2900,306.17,49,36,0,641393
Hematite,64.4,2067,299.12,59,29,0,436385.04
Waste,0,1265,0,45,24,1,-87285
Hematite,54.07,2874,338.15,55,33,0,718931.1
Waste,0,1909,0,41,34,1,-143175
Magnetite,54.67,2366,295.25,39,39,0,514013.5
Hematite,50.82,1537,300.89,57,39,0,314915.93
Waste,0,2874,0,58,28,1,-247164
Hematite,54.12,1722,270.29,62,32,0,303571.38
Hematite,60.67,2720,275.32,59,38,0,485030.4
Magnetite,59.95,1698,306.76,69,38,0,339192.48
Hematite,59.94,1687,320.83,30,26,0,446768.21
Magnetite,54.22,2538,261.95,38,39,0,469403.1
Magnetite,59.4,1450,269.64,34,29,0,299628
Magnetite,52.27,1604,334.35,53,27,0,407977.4
Hematite,58.69,2678,328.78,59,36,0,626062.84
Waste,0,1620,0,42,24,1,-106920
Magnetite,60.11,1758,341.11,56,38,0,434419.38
Magnetite,56.5,2830,295.82,31,22,0,687180.6
Magnetite,57.52,1618,257.92,64,34,0,258750.56
Hematite,56.84,2846,303.4,65,28,0,598798.4
Waste,0,2632,0,47,20,1,-176344
Magnetite,52.06,1606,271.86,44,29,0,319369.16
Magnetite,50.15,2474,326.41,64,21,0,597248.34
Hematite,61.11,2883,272.79,53,29,0,550047.57
Magnetite,59.54,1804,265.79,52,24,0,342381.16
Hematite,58.86,1801,260.18,50,32,0,320902.18
Magnetite,55.84,1140,333.59,54,25,0,290232.6
Magnetite,59.91,1965,286.38,65,26,0,383921.7
Magnetite,54.1,1368,334.48,61,37,0,323504.64
Waste,0,1953,0,62,38,1,-195300
Waste,0,2214,0,66,30,1,-212544
Hematite,63.65,1434,332.7,54,20,0,370975.8
Waste,0,1748,0,30,24,1,-94392
Hematite,60.17,2702,269.33,41,39,0,511569.66
Hematite,53.12,2465,330.76,68,24,0,588543.4
Magnetite,62.48,2148,308.94,47,32,0,493911.12
Magnetite,61.03,1374,286.26,34,34,0,299889.24
Waste,0,2262,0,30,27,1,-128934
Magnetite,60.66,1473,256.17,39,20,0,290431.41
Hematite,51.24,2553,263.68,59,32,0,440852.04
Magnetite,58.42,2032,258.49,45,25,0,383011.68
Hematite,53.98,2482,305.41,43,32,0,571877.62
Hematite,53.62,1533,342.79,68,39,0,361466.07
Magnetite,59.53,1042,325.01,69,39,0,226124.42
Hematite,60.31,1074,344.37,40,23,0,302191.38
Hematite,52.7,1478,261.85,39,33,0,280598.3
Magnetite,57.19,1056,273.78,37,26,0,222583.68
Waste,0,2559,0,32,31,1,-161217
Hematite,58.61,2832,252.94,42,36,0,495430.08
Magnetite,62.38,1045,344.04,42,29,0,285326.8
Waste,0,2600,0,48,28,1,-197600
Hematite,53.82,2941,296.99,66,20,0,620521.59
Waste,0,1334,0,40,33,1,-97382
Hematite,59.37,1428,307.14,69,36,0,288655.92
Waste,0,1749,0,60,28,1,-153912
Hematite,62,1532,342.12,38,33,0,415355.84
Hematite,52.36,1129,300.15,50,33,0,245162.35
Hematite,52.67,2912,274.21,68,34,0,501475.52
Hematite,51.72,1321,278.05,51,27,0,264266.05
Hematite,55.95,1281,346.56,50,23,0,350430.36
Magnetite,60.78,2682,274.8,51,27,0,527817.6
Waste,0,1381,0,35,22,1,-78717
Magnetite,56.62,2187,329.23,45,25,0,566936.01
Magnetite,61.1,1323,277.77,32,31,0,284140.71
Waste,0,1091,0,53,36,1,-97099
Hematite,62.75,2007,261.98,41,33,0,377275.86
Hematite,53.58,1819,255.8,54,29,0,314323.2
Waste,0,1564,0,44,37,1,-126684
Magnetite,60.87,2274,274.15,34,28,0,482429.1
Waste,0,1286,0,31,20,1,-65586
Hematite,63.99,1044,288.82,55,28,0,214876.08
Waste,0,1793,0,64,39,1,-184679
Waste,0,2536,0,63,38,1,-256136
Hematite,60.5,2129,275.06,34,30,0,449346.74
Magnetite,63.58,1733,305.78,57,34,0,372213.74
Magnetite,51,1692,300.38,53,32,0,364422.96
Magnetite,61.47,2527,283.71,30,24,0,580477.17
Hematite,52.63,1409,295.58,63,21,0,298116.22
Magnetite,63.59,1125,330.64,53,37,0,270720
Hematite,63.21,1648,320.47,47,22,0,414422.56
Magnetite,52.93,1800,311.47,64,27,0,396846
Hematite,61.63,1285,289.3,30,36,0,286940.5
Magnetite,57.43,2811,337.62,62,35,0,676382.82
Magnetite,53.41,2983,299.6,38,31,0,687879.8
Hematite,60.15,1971,256.56,30,38,0,371651.76
Hematite,56.54,1961,301.79,49,29,0,438852.19
Waste,0,2569,0,35,27,1,-159278
Magnetite,61.04,2286,255.54,51,37,0,382996.44
Magnetite,60.64,2996,269.42,59,22,0,564506.32
Magnetite,53.33,1093,276.58,36,35,0,224698.94
Hematite,59.68,1712,290.49,31,33,0,387750.88
Magnetite,64.81,1974,332.38,48,36,0,490302.12
Hematite,60.32,2200,298.53,30,38,0,507166
Hematite,59.39,2153,314.81,64,27,0,481862.93
Hematite,64.71,1802,277.59,57,27,0,348849.18
Magnetite,51.41,1001,267.19,37,30,0,200390.19
Waste,0,2079,0,33,29,1,-128898
Magnetite,59.7,2390,267.13,39,37,0,456800.7
Magnetite,57.38,1130,285.46,37,38,0,237819.8
Hematite,56.33,1558,329.84,53,23,0,395482.72
Hematite,64.77,2732,293.27,56,26,0,577189.64
Waste,0,2925,0,30,31,1,-178425
Hematite,64.92,2623,274.53,68,30,0,463038.19
Magnetite,64.96,2870,284.51,52,29,0,584073.7
Waste,0,2848,0,42,28,1,-199360
Magnetite,60.87,2780,304.81,32,25,0,688911.8
Magnetite,52.22,1011,281.84,68,30,0,185862.24
Hematite,64.29,2274,312.5,39,24,0,567363
Hematite,55.46,1425,347.55,34,27,0,408333.75
Hematite,58.1,2416,344.05,55,35,0,613784.8
Magnetite,51.36,1882,287.16,64,33,0,357881.12
Magnetite,50.9,2500,330.55,63,27,0,601375
Hematite,62.16,2028,313.7,41,27,0,498279.6
Waste,0,1593,0,42,34,1,-121068
Waste,0,2283,0,43,38,1,-184923
Waste,0,2990,0,63,33,1,-287040
Magnetite,61.84,2991,255.58,30,28,0,590961.78
Magnetite,56.29,1808,338.57,30,37,0,490998.56
Magnetite,53.11,2085,302.52,37,31,0,488974.2
Hematite,60.99,2907,304.46,57,38,0,608900.22
Waste,0,2558,0,49,28,1,-196966
Magnetite,53.38,1978,348.86,69,22,0,510047.08
Hematite,58.03,1666,297.37,35,35,0,378798.42
Magnetite,63.3,1437,302.12,44,30,0,327808.44
Hematite,58.29,1745,299.63,67,26,0,360569.35
Hematite,53.62,1216,317.39,56,29,0,282586.24
Magnetite,57.05,2637,291.55,64,22,0,542035.35
Magnetite,54.65,2054,298.01,52,39,0,425198.54
Hematite,52.3,2747,329.55,66,33,0,633320.85
Hematite,50.47,1162,253.91,69,27,0,183491.42
Hematite,63.88,2563,284.08,50,23,0,540998.04
Hematite,62.11,1980,307.96,43,39,0,447400.8
Waste,0,2012,0,65,28,1,-187116
Hematite,59.38,1416,263.45,64,26,0,245605.2
Magnetite,61.15,1293,339.18,53,22,0,341584.74
Hematite,59.87,2161,302.58,47,34,0,478834.38
Magnetite,55.34,1396,305.91,45,27,0,326538.36
Hematite,63.25,1706,299.63,55,21,0,381512.78
Hematite,54.77,1918,291.09,49,36,0,395280.62
Hematite,64.96,2118,282.11,69,31,0,385708.98
Hematite,64.34,2473,342.09,30,34,0,687716.57
Hematite,52.46,1236,345.81,42,32,0,335957.16
Waste,0,1019,0,65,34,1,-100881
Hematite,52.71,2368,312.05,50,36,0,535286.4
Hematite,50.66,2370,283.11,52,36,0,462410.7
